card_name,win_rate,usage_rate
Tower Princess,0.50,0.92
Fireball,0.51,0.32
The Log,0.49,0.24
Arrows,0.49,0.22
Skeletons,0.50,0.20
Barbarian Barrel,0.52,0.18
Tornado,0.51,0.14
Hog Rider,0.48,0.14
Zap,0.50,0.14
Electro Spirit,0.50,0.13
Hero Knight,0.50,0.12
Ice Spirit,0.49,0.11
Valkyrie Evolution,0.49,0.10
Mega Knight Evolution,0.47,0.10
Hero Balloon,0.50,0.10
Giant Skeleton,0.53,0.10
Dark Prince,0.53,0.10
Hero Magic Archer,0.47,0.10
Lightning,0.49,0.10
Hero Barbarian Barrel,0.53,0.09
Royal Ghost Evolution,0.51,0.09
Hero Goblins,0.52,0.09
Lumberjack Evolution,0.52,0.09
Miner,0.49,0.09
Poison,0.50,0.08
Minions,0.51,0.08
Electro Wizard,0.49,0.08
Skeleton Barrel Evolution,0.51,0.08
Hero Mini P.E.K.K.A,0.48,0.07
Goblin Gang,0.48,0.07
Hero Mega Minion,0.51,0.07
Battle Ram Evolution,0.54,0.07
Tesla Evolution,0.50,0.07
Dart Goblin,0.48,0.07
Zappies,0.54,0.07
Witch Evolution,0.47,0.06
Furnace Evolution,0.51,0.06
Freeze,0.51,0.06
Inferno Dragon Evolution,0.52,0.06
Royal Hogs Evolution,0.50,0.06
Cannon,0.47,0.06
Guards,0.50,0.06
Zap Evolution,0.53,0.06
Executioner Evolution,0.51,0.06
Skeleton Dragons,0.54,0.06
Cannon Evolution,0.50,0.06
Golem,0.51,0.06
Balloon,0.50,0.06
Bats,0.47,0.05
Hero Wizard,0.51,0.05
Baby Dragon Evolution,0.52,0.05
Firecracker Evolution,0.47,0.05
Bandit,0.51,0.05
Bowler,0.53,0.05
Dagger Duchess,0.46,0.05
Graveyard,0.53,0.05
Rascals,0.53,0.05
Lava Hound,0.52,0.05
Skeleton Army Evolution,0.51,0.05
Goblin Cage Evolution,0.53,0.05
Night Witch,0.50,0.05
Goblin Hut,0.51,0.05
Vines,0.50,0.05
Mortar Evolution,0.54,0.05
Rocket,0.49,0.04
Musketeer Evolution,0.49,0.04
Cannon Cart,0.54,0.04
Hero Ice Golem,0.49,0.04
Tombstone,0.51,0.04
Giant Snowball Evolution,0.51,0.04
Golden Knight,0.50,0.04
Fire Spirit,0.49,0.04
Bomb Tower,0.49,0.04
Rage,0.49,0.04
Mini P.E.K.K.A,0.47,0.04
Spirit Empress,0.52,0.04
Earthquake,0.50,0.04
Princess,0.50,0.04
Skeletons Evolution,0.49,0.04
Minion Horde Evolution,0.51,0.04
Prince,0.49,0.04
Skeleton Army,0.47,0.04
Fisherman,0.50,0.04
Goblin Barrel Evolution,0.50,0.04
Arrows Evolution,0.50,0.04
P.E.K.K.A,0.49,0.03
Giant Snowball,0.50,0.03
Royal Giant Evolution,0.50,0.03
Archers Evolution,0.52,0.03
Bomber,0.51,0.03
Electro Dragon Evolution,0.50,0.03
Berserker,0.51,0.03
Ice Wizard,0.51,0.03
Wall Breakers Evolution,0.49,0.03
Tesla,0.46,0.03
Inferno Tower,0.48,0.03
Bats Evolution,0.52,0.03
Sparky,0.50,0.03
P.E.K.K.A Evolution,0.48,0.03
Royal Delivery,0.49,0.03
Royal Recruits Evolution,0.50,0.03
Skeleton King,0.50,0.03
Valkyrie,0.45,0.03
Elixir Collector,0.51,0.03
X-Bow,0.53,0.03
Hero Giant,0.52,0.03
Hero Musketeer,0.46,0.03
Goblin Drill Evolution,0.51,0.03
Mother Witch,0.50,0.03
Firecracker,0.45,0.03
Archer Queen,0.51,0.03
Elixir Golem,0.47,0.03
Royal Ghost,0.49,0.03
Knight,0.48,0.03
Goblin Barrel,0.44,0.03
Flying Machine,0.51,0.03
Ice Golem,0.48,0.02
Ram Rider,0.50,0.02
Wall Breakers,0.48,0.02
Hunter,0.50,0.02
Wizard Evolution,0.49,0.02
Inferno Dragon,0.48,0.02
Musketeer,0.48,0.02
Knight Evolution,0.51,0.02
Skeleton Barrel,0.44,0.02
Baby Dragon,0.48,0.02
Suspicious Bush,0.48,0.02
Elite Barbarians,0.49,0.02
Royal Chef,0.48,0.02
Battle Healer,0.50,0.02
Mega Knight,0.45,0.02
Furnace,0.49,0.02
Barbarians,0.51,0.02
Goblin Demolisher,0.51,0.02
Boss Bandit,0.46,0.02
Clone,0.48,0.02
Monk,0.48,0.02
Royal Recruits,0.49,0.02
Hunter Evolution,0.50,0.02
Barbarians Evolution,0.51,0.02
Spear Goblins,0.50,0.02
Royal Hogs,0.50,0.02
Heal Spirit,0.53,0.01
Mirror,0.43,0.01
Phoenix,0.51,0.01
Electro Giant,0.49,0.01
Goblins,0.49,0.01
Three Musketeers,0.52,0.01
Dart Goblin Evolution,0.46,0.01
Cannoneer,0.49,0.01
Minion Horde,0.47,0.01
Goblin Curse,0.50,0.01
Witch,0.43,0.01
Giant,0.50,0.01
Goblin Cage,0.50,0.01
Goblin Drill,0.48,0.01
Battle Ram,0.47,0.01
Mega Minion,0.48,0.01
Executioner,0.44,0.01
Bomber Evolution,0.50,0.01
Goblinstein,0.51,0.01
Goblin Giant Evolution,0.52,0.01
Void,0.49,0.01
Archers,0.46,0.01
Ice Spirit Evolution,0.47,0.01
Wizard,0.43,0.01
Little Prince,0.46,0.01
Magic Archer,0.45,0.00
Royal Giant,0.47,0.00
Mortar,0.47,0.00
Electro Dragon,0.44,0.00
Rune Giant,0.43,0.00
Goblin Machine,0.44,0.00
Goblin Giant,0.43,0.00
Barbarian Hut,0.47,0.00
Mighty Miner,0.49,0.04
